Funded ID,Product,Initial Funding Date,Total Original Balance,Total Original RTR,Past Due Amount,Total Principal Net Charge Off,Owner FICO,Commission Cost %
LAI-00000979,Term-SuperB,1/31/2025,"1,450,000","1,899,500",0,0,722.25,0.04
LAI-00000978,Term-SuperB,1/31/2025,"1,000,000","1,200,000",0,0,772,0.02
LAI-00000977,Term-SuperB,1/31/2025,"2,000,000","2,740,000",0,0,761,0.04
LAI-00000976,Term-SuperB,1/29/2025,"800,000","1,120,000",0,0,703,0.07
LAI-00000975,Term-SuperB,1/27/2025,"3,000,000","3,540,000",0,0,687,0.01
LAI-00000974,Term-SuperB,1/24/2025,"3,000,000","3,990,000",0,0,731,0.02
LAI-00000973,Term-SuperB,1/24/2025,"3,867,602","5,027,883",0,0,814,0.03
LAI-00000972,Term-SuperB,1/22/2025,"1,500,000","1,965,000",0,0,784.37,0.03
LAI-00000971,Term-SuperB,1/17/2025,"1,802,671","2,325,445","-35,776",0,800,0.010000001
LAI-00000970,Term-SuperB,1/16/2025,"1,500,000","1,980,000",0,0,763,0.04
LAI-00000969,Term,1/13/2025,"600,000","780,000",0,0,716,0.05
LAI-00000968,Term,1/9/2025,"250,000","330,000",0,0,744,0.03
LAI-00000967,Term-SuperB,12/31/2024,"3,000,000","3,900,000",0,0,739,0.02
LAI-00000966,Term,12/27/2024,"750,000","1,001,250",0,0,715,0.03
LAI-00000965,Term-SuperB,12/27/2024,"2,250,000","2,835,000",0,0,732.5,0.03
LAI-00000964,Term-SuperB,12/27/2024,"2,125,011","3,038,766","-84,410",0,760,0.030000002
LAI-00000963,Term-SuperB,12/27/2024,"1,300,000","1,768,000",0,0,785,0.04
LAI-00000962,Term-SuperB,12/26/2024,"1,050,000","1,396,500",0,0,782,0.03
LAI-00000961,Term,12/23/2024,"500,000","700,000",0,0,744,0.05
LAI-00000960,Term-SuperB,12/23/2024,"2,000,000","2,680,000",0,0,784,0.05
LAI-00000959,Term-SuperB,12/20/2024,"1,500,000","1,860,000","-35,769",0,762.496,0.03
LAI-00000958,Term-SuperB,12/20/2024,"3,400,000","4,624,000",0,0,723,0.02
LAI-00000957,Term-SuperB,12/13/2024,"3,000,000","3,450,000",0,0,783,0.01
LAI-00000955,Term-SuperB,12/9/2024,"3,000,000","3,600,000",0,0,752,0.02
LAI-00000954,Term,12/5/2024,"500,000","680,000",0,0,753,0.07
LAI-00000952,Term-SuperB,12/5/2024,"700,000","973,000",0,0,788,0.02
LAI-00000951,Term,12/3/2024,"1,000,000","1,200,000",0,0,674,0.03
LAI-00000950,Term-SuperB,12/2/2024,"700,000","987,000",0,0,698.76,0.04
LAI-00000949,Term,11/29/2024,"1,000,000","1,460,000",0,0,668,0.05
LAI-00000948,Term-SuperB,11/27/2024,"1,722,999","2,360,509",0,0,787,0.019999998
